원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
걸스카우트 (영화)'의 감독은(는) 누구인가요?	걸스카우트 (영화)'의 감독은(는) 김상만(이)에요.	누가 걸스타우트라는 영화를 만들었나요?	김상민은 걸스카우트라는 영화를 만들었어요.	김상만	감독	걸스카우트 (영화)	걸스카우트 (영화)'의 감독은(는) 누구인가요?	누가 걸스타우트라는 영화를 만들었나요?	79	"O,O,A"
밤의 요정'의 감독은(는) 누구인가요?	밤의 요정'의 감독은(는) 남기남(이)에요.	밤의 요정을 감독한 사람은 누구인가요?	남기남은 밤의 요정을 감독했어요	남기남	감독	밤의 요정	밤의 요정'의 감독은(는) 누구인가요?	밤의 요정을 감독한 사람은 누구인가요?	159	"O,O,O"
'자귀모'의 감독은(는) 누구인가요?	자귀모'의 감독은(는) 이광훈 (1959년)(이)에요.	자귀모를 만든 사람은 누구인가요?	자귀모를 만든 사람은 이광훈 감독이에요.	이광훈 (1959년)	감독	자귀모	'자귀모'의 감독은(는) 누구인가요?	자귀모를 만든 사람은 누구인가요?	477	"O,O,O"
증발 (영화)'의 감독은(는) 누구인가요?	증발 (영화)'의 감독은(는) 신상옥(이)에요.	증발 (영화)의 감독은 누구예요?	증발(영화)의 감독은 신상옥이예요.	신상옥	감독	증발 (영화)	증발 (영화)'의 감독은(는) 신상옥(이)에요.	증발(영화)의 감독은 신상옥이예요.	334	"O,O,O"
맨홀 (영화)'의 감독은(는) 누구인가요?	맨홀 (영화)'의 감독은(는) 신재영(이)에요.	맨홀(영화) 감독은 누구예요?	맨홀(영화)의 감독은 신재영이예요.	신재영	감독	맨홀 (영화)	맨홀 (영화)'의 감독은(는) 신재영(이)에요.	맨홀(영화)의 감독은 신재영이예요.	350	"O,O,O"
뛰는 자 나는 자'의 감독은(는) 누구인가요?	뛰는 자 나는 자'의 감독은(는) 심재석(이)에요.	영화 뛰는 자 나는 자는 누가 만들었나요?	뛰는 자 나는 자라는 영화는 심재석이 만들었어요.	심재석	감독	뛰는 자 나는 자	뛰는 자 나는 자'의 감독은(는) 누구인가요?	영화 뛰는 자 나는 자는 누가 만들었나요?	373	"O,O,O"
'탈주'의 감독은(는) 누구인가요?	'탈주'의 감독은(는) 이송희일(이)에요.	'탈주'는 누가 총 지휘했나요?	이송희일이 '탈주'를 감독했어요.	이송희일	감독	탈주	'탈주'의 감독은(는) 이송희일(이)에요.	이송희일이 '탈주'를 감독했어요.	510	"O,O,O"
위도 (영화)'의 감독은(는) 누구인가요?	위도 (영화)'의 감독은(는) 백정민(이)에요.	위도(영화)의 연출가는 누구일까요?	백정민감독이 위도(영화)를 연출했어요.	백정민	감독	위도 (영화)	위도 (영화)'의 감독은(는) 누구인가요?	위도(영화)의 연출가는 누구일까요?	311	"A,O,O"
'개똥이'의 감독은(는) 누구인가요?	'개똥이'의 감독은(는) 김병준(이)에요.	'개똥이'의 연출가는 누구인가요?	'개똥이'는 김병준이 연출했어요.	김병준	감독	개똥이	'개똥이'의 감독은(는) 누구인가요?	'개똥이'의 연출가는 누구인가요?	71	"A,O,O"
신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 누구인가요?	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 마사유키(이)에요.	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생의 감독을 알고 싶어요.	마사유키가 신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생을 감독했어요.	마사유키	감독	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생'의 감독은(는) 누구인가요?	신세기 에반게리온 극장판 DEATH & REBIRTH 사도신생의 감독을 알고 싶어요.	211	"X,O,O"
